Year/Month,SMA Olive Oil Price,WMA Olive Oil Price,EMA Olive Oil Price,Olive Oil Price (1 month before),Olive Oil Price (2 month before),Olive Oil Price (3 month before),Olive Oil Price
2016/11,2.7481894444444444,2.751883166666667,2.8360226232106838,2.75283875,2.7610531666666667,2.730676416666667,2.9259089166666663
2016/12,2.8132669444444445,2.840742902777778,3.030419644938675,2.9259089166666663,2.75283875,2.7610531666666667,3.224816666666667
2017/01,2.9678547777777777,3.0465177638888883,3.1124343641360044,3.224816666666667,2.9259089166666663,2.75283875,3.194449083333333
2017/02,3.1150582222222223,3.1598149166666665,3.174714223734669,3.194449083333333,3.224816666666667,2.9259089166666663,3.2369940833333337
2017/03,3.2187532777777776,3.2207828472222224,3.250690403534001,3.2369940833333337,3.194449083333333,3.224816666666667,3.326666583333333
2017/04,3.2527032499999997,3.2747395000000004,3.324299118433667,3.326666583333333,3.2369940833333337,3.194449083333333,3.397907833333333
2017/05,3.3205228333333334,3.3473417916666666,3.4095044758835003,3.397907833333333,3.326666583333333,3.2369940833333337,3.4947098333333333
2017/06,3.406428083333333,3.4344352916666665,3.4444790573861943,3.4947098333333333,3.397907833333333,3.326666583333333,3.4794536388888884
2017/07,3.4573571018518514,3.4709480694444443,3.4366495286930974,3.4794536388888884,3.4947098333333333,3.397907833333333,3.42882
2017/08,3.467661157407407,3.4566795185185186,3.453324764346549,3.42882,3.4794536388888884,3.4947098333333333,3.47
2017/09,3.459424546296296,3.4578489398148147,3.499106715506608,3.47,3.42882,3.4794536388888884,3.5448886666666666
2017/10,3.4812362222222224,3.500581,3.5274918577533043,3.5448886666666666,3.47,3.42882,3.555877
2017/11,3.5235885555555555,3.537901388888889,3.433190262209986,3.555877,3.5448886666666666,3.47,3.338888666666667
2017/12,3.479884777777778,3.4455514444444444,3.284963131104993,3.338888666666667,3.555877,3.5448886666666666,3.1367360000000004
2018/01,3.343833888888889,3.2739770555555556,3.2281803988858293,3.1367360000000004,3.338888666666667,3.555877,3.171397666666666
2018/02,3.2156741111111113,3.1877589444444445,3.1783760327762476,3.171397666666666,3.1367360000000004,3.338888666666667,3.1285716666666663
2018/03,3.1455684444444443,3.144207722222222,3.04687618305479,3.1285716666666663,3.171397666666666,3.1367360000000004,2.915376333333333
2018/04,3.071781888888889,3.0291116666666666,2.8737159248607282,2.915376333333333,3.1285716666666663,3.171397666666666,2.7005556666666664
2018/05,2.9148345555555557,2.8434985555555556,2.6883096290970308,2.7005556666666664,2.915376333333333,3.1285716666666663,2.5029033333333333
2018/06,2.7062784444444445,2.637532944444444,2.538321481215182,2.5029033333333333,2.7005556666666664,2.915376333333333,2.388333333333333
2018/07,2.530597444444444,2.4785603888888885,2.5148414072742575,2.388333333333333,2.5029033333333333,2.7005556666666664,2.4913613333333333
2018/08,2.4608659999999998,2.4589423333333333,2.4971880369704618,2.4913613333333333,2.388333333333333,2.5029033333333333,2.4795346666666664
2018/09,2.4530764444444446,2.4682766666666667,2.496094018485231,2.4795346666666664,2.4913613333333333,2.388333333333333,2.495
2018/10,2.488632,2.489238444444444,2.4485846759092817,2.495,2.4795346666666664,2.4913613333333333,2.401075333333333
2018/11,2.458536666666667,2.4454601111111107,2.505125671287974,2.401075333333333,2.495,2.4795346666666664,2.561666666666667
2018/12,2.4859139999999997,2.497025111111111,2.5388928356439875,2.561666666666667,2.401075333333333,2.495,2.5726600000000004
2019/01,2.5118006666666672,2.540398111111111,2.5133710844886608,2.5726600000000004,2.561666666666667,2.401075333333333,2.4878493333333336
2019/02,2.540725333333334,2.5284224444444447,2.5077570422443305,2.4878493333333336,2.5726600000000004,2.561666666666667,2.502143
2019/03,2.5208841111111115,2.5091312777777777,2.493071854455499,2.502143,2.4878493333333336,2.5726600000000004,2.4783866666666667
2019/04,2.489459666666667,2.4878825555555557,2.429869260561083,2.4783866666666667,2.502143,2.4878493333333336,2.3666666666666667
2019/05,2.4490654444444444,2.4264860555555554,2.3971591302805413,2.3666666666666667,2.4783866666666667,2.502143,2.364449
2019/06,2.403167444444444,2.384177833333333,2.344412898473604,2.364449,2.3666666666666667,2.4783866666666667,2.2916666666666665
2019/07,2.3409274444444446,2.3284274444444444,2.2778314492368024,2.2916666666666665,2.364449,2.3666666666666667,2.21125
2019/08,2.289121888888889,2.2635887222222224,2.2193477246184012,2.21125,2.2916666666666665,2.364449,2.160864
2019/09,2.2212602222222224,2.199459777777778,2.247285028975867,2.160864,2.21125,2.2916666666666665,2.275222333333333
2019/10,2.2157787777777775,2.226440833333333,2.2165996811546,2.275222333333333,2.160864,2.21125,2.1859143333333333
2019/11,2.2073335555555555,2.211508611111111,2.0919110072439664,2.1859143333333333,2.275222333333333,2.160864,1.9672223333333327
2019/12,2.142786333333333,2.0914529999999996,1.9690738369553165,1.9672223333333327,2.1859143333333333,2.275222333333333,1.8462366666666667
2020/01,1.9997911111111109,1.9431781666666665,1.8061499184776584,1.8462366666666667,1.9672223333333327,2.1859143333333333,1.643226
2020/02,1.8188949999999997,1.7648956111111112,1.6965807925721625,1.643226,1.8462366666666667,1.9672223333333327,1.5870116666666665
