Year/Month,SMA Pears Price,WMA Pears Price,EMA Pears Price,Pears Price (1 month before),Pears Price (2 month before),Pears Price (3 month before),Pears Price
2014/11,0.37046,0.3602483333333333,0.40289777004361155,0.374286,0.301538,0.435556,0.4112
2014/12,0.36234133333333335,0.38061833333333334,0.3901988850218058,0.4112,0.374286,0.301538,0.3775
2015/01,0.387662,0.38819766666666666,0.4313494425109029,0.3775,0.4112,0.374286,0.4725
2015/02,0.42039999999999994,0.43061666666666665,0.4669247212554514,0.4725,0.3775,0.4112,0.5025
2015/03,0.45083333333333336,0.4716666666666667,0.5088193606277257,0.5025,0.4725,0.3775,0.5507139999999999
2015/04,0.5085713333333333,0.5216069999999999,0.5833681803138628,0.5507139999999999,0.5025,0.4725,0.6579170000000001
2015/05,0.570377,0.5962798333333333,0.6687810901569313,0.6579170000000001,0.5507139999999999,0.5025,0.7541939999999999
2015/06,0.654275,0.6881883333333333,0.7090570450784657,0.7541939999999999,0.6579170000000001,0.5507139999999999,0.749333
2015/07,0.7204813333333333,0.7357173333333332,0.7182380225392329,0.749333,0.7541939999999999,0.6579170000000001,0.727419
2015/08,0.7436486666666667,0.7391861666666667,0.6214105112696164,0.727419,0.749333,0.7541939999999999,0.524583
2015/09,0.6671116666666667,0.6296533333333333,0.5632052556348082,0.524583,0.727419,0.749333,0.505
2015/10,0.5856673333333333,0.5485975000000001,0.503860627817404,0.505,0.524583,0.727419,0.444516
2015/11,0.4913663333333334,0.4780218333333333,0.48520631390870206,0.444516,0.505,0.524583,0.466552
2015/12,0.4720226666666667,0.46561466666666673,0.461796656954351,0.466552,0.444516,0.505,0.438387
2016/01,0.4498183333333334,0.44879683333333337,0.46306482847717556,0.438387,0.466552,0.444516,0.4643330000000001
2016/02,0.456424,0.4560541666666667,0.4563399142385878,0.4643330000000001,0.438387,0.466552,0.449615
2016/03,0.45077833333333334,0.4526496666666667,0.45557745711929387,0.449615,0.4643330000000001,0.438387,0.454815
2016/04,0.4562543333333334,0.454668,0.4512502285596469,0.454815,0.449615,0.4643330000000001,0.446923
2016/05,0.450451,0.4500023333333334,0.45216361427982343,0.446923,0.454815,0.449615,0.453077
2016/06,0.45160500000000003,0.45131533333333335,0.4206973071399117,0.453077,0.446923,0.454815,0.389231
2016/07,0.4297436666666667,0.42012833333333327,0.37881015356995584,0.389231,0.453077,0.446923,0.336923
2016/08,0.39307700000000007,0.37371799999999994,0.30051607678497794,0.336923,0.389231,0.453077,0.222222
2016/09,0.3161253333333333,0.28829049999999995,0.373912038392489,0.222222,0.336923,0.389231,0.447308
2016/10,0.33548433333333333,0.35388183333333334,0.39676351919624453,0.447308,0.222222,0.336923,0.419615
2016/11,0.36304833333333336,0.3959471666666667,0.43126625959812226,0.419615,0.447308,0.222222,0.465769
2016/12,0.44423066666666666,0.44730749999999997,0.44174412979906114,0.465769,0.419615,0.447308,0.452222
2017/01,0.4458686666666667,0.4513031666666667,0.5051030648995306,0.452222,0.465769,0.419615,0.568462
2017/02,0.49548433333333336,0.5125998333333334,0.5702300324497653,0.568462,0.452222,0.465769,0.635357
2017/03,0.5520136666666667,0.5825361666666666,0.6051150162248826,0.635357,0.568462,0.452222,0.64
