Year/Month,SMA Chicken Price,WMA Chicken Price,EMA Chicken Price,Chicken Price (1 month before),Chicken Price (2 month before),Chicken Price (3 month before),Chicken Price
2015/04,1.7316893333333334,1.7320656666666665,1.7404217797911168,1.745806,1.705714,1.743548,1.753333
2015/05,1.734951,1.7428875000000001,1.7135978898955584,1.753333,1.745806,1.705714,1.686774
2015/06,1.7286376666666667,1.718799,1.7712989449477792,1.686774,1.753333,1.745806,1.829
2015/07,1.756369,1.7689801666666665,1.7756494724738896,1.829,1.686774,1.753333,1.78
2015/08,1.765258,1.7807956666666669,1.7720182362369448,1.78,1.829,1.686774,1.768387
2015/09,1.7924623333333332,1.7823601666666669,1.7638426181184723,1.768387,1.78,1.829,1.755667
2015/10,1.7680179999999999,1.7639624999999999,1.6946633090592362,1.755667,1.768387,1.78,1.625484
2015/11,1.7165126666666666,1.6926955,1.662998154529618,1.625484,1.755667,1.768387,1.631333
2015/12,1.670828,1.6501056666666667,1.649402077264809,1.631333,1.625484,1.755667,1.635806
2016/01,1.6308743333333335,1.6325946666666666,1.6397010386324045,1.635806,1.631333,1.625484,1.63
2016/02,1.6323796666666668,1.6321575,1.6719195193162022,1.63,1.635806,1.631333,1.704138
2016/03,1.656648,1.6680366666666666,1.6857982596581012,1.704138,1.63,1.635806,1.699677
2016/04,1.6779383333333333,1.6895511666666667,1.6863991298290506,1.699677,1.704138,1.63,1.687
2016/05,1.6969383333333334,1.6940819999999999,1.6786835649145253,1.687,1.699677,1.704138,1.670968
2016/06,1.6858816666666667,1.6810968333333332,1.7185082824572626,1.670968,1.687,1.699677,1.758333
2016/07,1.7054336666666667,1.7173224999999999,1.6853831412286313,1.758333,1.670968,1.687,1.652258
2016/08,1.6938529999999998,1.6907346666666667,1.6797885706143156,1.652258,1.758333,1.670968,1.674194
2016/09,1.6949283333333334,1.6809051666666666,1.6935607853071577,1.674194,1.652258,1.758333,1.707333
2016/10,1.6779283333333332,1.6871074999999998,1.6741998926535788,1.707333,1.674194,1.652258,1.654839
2016/11,1.6787886666666667,1.6755628333333334,1.6105999463267895,1.654839,1.707333,1.674194,1.547
2016/12,1.6363906666666665,1.6096685,1.5859449731633948,1.547,1.654839,1.707333,1.56129
2017/01,1.5877096666666664,1.5721181666666668,1.6149079865816973,1.56129,1.547,1.654839,1.643871
2017/02,1.5840536666666667,1.6001988333333335,1.6374539932908485,1.643871,1.56129,1.547,1.66
2017/03,1.6217203333333334,1.638172,1.6593719966454241,1.66,1.643871,1.56129,1.68129
2017/04,1.6617203333333332,1.6679568333333332,1.669685998322712,1.68129,1.66,1.643871,1.68
2017/05,1.6737633333333333,1.6770966666666667,1.669681499161356,1.68,1.68129,1.66,1.669677
2017/06,1.676989,1.6750535,1.6885072495806779,1.669677,1.68,1.68129,1.707333
2017/07,1.68567,1.6902254999999997,1.687156624790339,1.707333,1.669677,1.68,1.685806
2017/08,1.6876053333333332,1.6902935000000001,1.6706753123951694,1.685806,1.707333,1.669677,1.654194
2017/09,1.6824443333333334,1.6735878333333332,1.6603376561975847,1.654194,1.685806,1.707333,1.65
2017/10,1.6633333333333333,1.6573656666666665,1.6477493280987923,1.65,1.654194,1.685806,1.635161
2017/11,1.6464516666666666,1.6432795,1.6515411640493962,1.635161,1.65,1.654194,1.655333
2017/12,1.6468313333333333,1.6477201666666668,1.6364155820246982,1.655333,1.635161,1.65,1.62129
2018/01,1.6372613333333332,1.6349495,1.611917291012349,1.62129,1.655333,1.635161,1.587419
2018/02,1.6213473333333333,1.6100283333333334,1.6291731455061744,1.587419,1.62129,1.655333,1.646429
2018/03,1.6183793333333334,1.6225691666666666,1.6495865727530872,1.646429,1.587419,1.62129,1.67
2018/04,1.634616,1.6483794999999999,1.6566267863765436,1.67,1.646429,1.587419,1.663667
